stage,split,task,semantic_family,original_parameter,runtime_purity,event,prefix,operator_arm,tail_horizon,configured_action_budget,configured_call_budget,actual_usage,safe_success,diagnostic_only,formal_positive_evidence_allowed,new_idea_generated
stage2d,evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,fresh_process_verified,37_event_instances,requested k,FIXED_DELAY_8,4.0,18.0,2.0,"{""mean_actor_calls"":2.0,""mean_post_detection_actions"":12.0}",0.0,True,False,False
stage2d,evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,fresh_process_verified,37_event_instances,requested k,FRESH_MATCHED_AT_RULE_K,4.0,18.0,2.0,"{""mean_actor_calls"":2.0,""mean_post_detection_actions"":12.891891891891891}",0.0,True,False,False
stage2d,evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,fresh_process_verified,37_event_instances,requested k,FULL_OLD_CHUNK,4.0,18.0,2.0,"{""mean_actor_calls"":0.0,""mean_post_detection_actions"":14.0}",0.0,True,False,False
stage2d,evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,fresh_process_verified,37_event_instances,requested k,HOLD_MATCHED_AT_RULE_K,4.0,18.0,2.0,"{""mean_actor_calls"":2.0,""mean_post_detection_actions"":12.891891891891891}",0.0,True,False,False
stage2d,evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,fresh_process_verified,37_event_instances,requested k,IMMEDIATE_FRESH,4.0,18.0,2.0,"{""mean_actor_calls"":1.0,""mean_post_detection_actions"":4.0}",0.0,True,False,False
stage2d,evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_080mm,fresh_process_verified,35_event_instances,requested k,CACHED_NOQUERY_AT_RULE_K,4.0,18.0,2.0,"{""mean_actor_calls"":1.0,""mean_post_detection_actions"":12.742857142857142}",0.0,True,False,False
stage2d,evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_080mm,fresh_process_verified,35_event_instances,requested k,EVENT_ALIGNED_CACHED,4.0,18.0,2.0,"{""mean_actor_calls"":2.0,""mean_post_detection_actions"":12.742857142857142}",0.0,True,False,False
stage2d,evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_080mm,fresh_process_verified,35_event_instances,requested k,FIXED_DELAY_2,4.0,18.0,2.0,"{""mean_actor_calls"":2.0,""mean_post_detection_actions"":6.0}",0.0,True,False,False
stage2d,evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_080mm,fresh_process_verified,35_event_instances,requested k,FIXED_DELAY_4,4.0,18.0,2.0,"{""mean_actor_calls"":2.0,""mean_post_detection_actions"":8.0}",0.0,True,False,False
stage2d,evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_080mm,fresh_process_verified,35_event_instances,requested k,FIXED_DELAY_8,4.0,18.0,2.0,"{""mean_actor_calls"":2.0,""mean_post_detection_actions"":12.0}",0.0,True,False,False
stage2d,evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_080mm,fresh_process_verified,35_event_instances,requested k,FRESH_MATCHED_AT_RULE_K,4.0,18.0,2.0,"{""mean_actor_calls"":2.0,""mean_post_detection_actions"":12.742857142857142}",0.0,True,False,False
stage2d,evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_080mm,fresh_process_verified,35_event_instances,requested k,FULL_OLD_CHUNK,4.0,18.0,2.0,"{""mean_actor_calls"":0.0,""mean_post_detection_actions"":14.0}",0.0,True,False,False
stage2d,evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_080mm,fresh_process_verified,35_event_instances,requested k,HOLD_MATCHED_AT_RULE_K,4.0,18.0,2.0,"{""mean_actor_calls"":2.0,""mean_post_detection_actions"":12.742857142857142}",0.0,True,False,False
stage2d,evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_080mm,fresh_process_verified,35_event_instances,requested k,IMMEDIATE_FRESH,4.0,18.0,2.0,"{""mean_actor_calls"":1.0,""mean_post_detection_actions"":4.0}",0.0,True,False,False
